"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72572024127","1993-01-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  24.9","24","  20.3","24","1018.0","24","869.6","24"," 20.3","24","  4.8","24"," 11.1","999.9","  30.9"," ","  12.0"," "," 0.00","G","  3.1","000000"
"72572024127","1993-01-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.2","24","  25.3","24","1008.0","24","862.4","24"," 16.5","24"," 12.8","24"," 18.1","999.9","  43.0"," ","  17.1"," "," 0.10","G","  7.1","001000"
"72572024127","1993-01-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  18.3","24","  14.4","24","1020.2","24","870.8","24","  5.1","24","  6.0","24"," 13.0","999.9","  21.9","*","   0.9"," "," 0.15","G"," 11.8","001000"
"72572024127","1993-01-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  10.9","24","   4.0","24","1024.8","24","873.1","24"," 26.5","24","  7.3","24"," 15.9"," 22.0","  24.1"," ","   1.9"," "," 0.01","G"," 11.0","000000"
"72572024127","1993-01-05","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","   7.6","24","   4.3","24","1023.0","24","870.9","24"," 13.7","24","  3.1","24","  7.0","999.9","  25.0"," ","  -4.0"," "," 0.00","G","  9.1","100000"
"72572024127","1993-01-06","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  16.7","24","  12.7","24","1023.4","24","872.4","24","  3.6","24","  2.5","24","  6.0","999.9","  25.0","*","  12.0","*"," 0.00","G","  7.9","101000"
"72572024127","1993-01-07","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  22.3","24","  19.7","24","1015.3","24","866.7","24","  1.4","24","  2.8","24","  7.0","999.9","  26.1","*","  12.0"," "," 0.28","G","  9.1","101000"
"72572024127","1993-01-08","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  24.3","24","  22.5","24","1002.7","24","856.5","24","  1.0","24","  3.2","24","  8.0","999.9","  28.9","*","  19.9"," "," 0.61","G"," 14.2","101000"
"72572024127","1993-01-09","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  28.6","24","  26.9","24","1006.3","24","860.1","24","  1.9","24","  5.0","24"," 15.9","999.9","  32.0","*","  19.9"," "," 0.31","G"," 18.1","101000"
"72572024127","1993-01-10","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  26.9","24","  24.6","24","1008.5","24","862.0","24","  3.5","24","  4.1","24"," 10.1","999.9","  33.1"," ","  19.9"," "," 0.30","G"," 20.9","101000"
"72572024127","1993-01-11","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.4","24","  25.0","24","1004.6","24","858.8","24","  4.6","24","  7.7","24"," 16.9","999.9","  35.1"," ","  24.1"," "," 0.21","G"," 26.0","111010"
"72572024127","1993-01-12","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  18.8","24","  11.2","24","1023.9","24","874.0","24"," 23.6","24","  5.7","24"," 10.1","999.9","  34.0"," ","   8.1"," "," 0.04","G"," 24.0","000000"
"72572024127","1993-01-13","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  19.5","24","  16.4","24","1020.7","24","870.7","24","  6.1","24","  3.6","24"," 10.1","999.9","  32.0","*","   8.1"," "," 0.04","G"," 22.0","101000"
"72572024127","1993-01-14","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  21.4","24","  19.5","24","1016.0","24","867.4","23","  2.8","24","  3.8","24","  8.0","999.9","  32.0"," ","  10.9"," "," 0.00","D","999.9","111000"
"72572024127","1993-01-15","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  28.8","24","  26.8","24","1019.6","24","871.5","24","  1.5","24","  4.2","24"," 12.0","999.9","  36.0","*","  10.9"," "," 0.08","G"," 14.2","111000"
"72572024127","1993-01-16","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  30.2","24","  29.1","24","1018.5","24","870.9","24","  4.0","24","  4.8","24"," 13.0","999.9","  36.0"," ","  24.1"," "," 0.01","G"," 11.8","111000"
"72572024127","1993-01-17","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  28.7","24","  27.5","24","1015.7","24","868.5","24","  3.4","24","  4.7","24"," 13.0","999.9","  36.0"," ","  23.0"," "," 0.25","G","999.9","101000"
"72572024127","1993-01-18","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.4","24","  29.6","24","1011.6","24","865.2","24","  3.1","24","  5.5","24"," 11.8","999.9","  39.9"," ","  23.0"," "," 0.10","G"," 13.0","111000"
"72572024127","1993-01-19","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.8","24","  30.3","24","1014.5","24","867.9","24","  1.4","24","  4.0","24","  8.0","999.9","  39.9"," ","  28.0"," "," 0.20","G"," 15.0","101000"
"72572024127","1993-01-20","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.9","24","  25.3","24","1023.5","24","875.0","24","  7.8","24","  5.5","24"," 12.0","999.9","  37.9"," ","  21.9"," "," 0.14","G"," 13.0","100000"
"72572024127","1993-01-21","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.0","24","  29.1","24","1022.6","24","875.1","24"," 24.8","24","  5.2","24"," 18.1"," 24.9","  46.0","*","  21.9"," "," 0.00","G"," 11.0","011000"
"72572024127","1993-01-22","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  39.2","24","  27.4","24","1014.6","24","869.0","24"," 24.4","24"," 14.1","24"," 26.0"," 35.0","  48.0"," ","  28.9"," "," 0.01","G","  7.9","011000"
"72572024127","1993-01-23","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.6","24","  17.9","24","1028.2","24","879.5","24"," 31.9","24","  7.9","24"," 15.0"," 19.8","  46.0"," ","  19.0"," "," 0.00","D","  7.1","001000"
"72572024127","1993-01-24","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  24.5","24","  18.3","24","1031.6","24","881.2","24"," 14.9","24","  2.2","24","  7.0","999.9","  37.0"," ","  19.0"," "," 0.12","G","  9.1","001000"
"72572024127","1993-01-25","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  25.0","24","  20.9","24","1035.0","24","884.3","24"," 10.3","24","  4.3","24","  8.9","999.9","  36.0","*","  10.9"," "," 0.00","D","  7.9","100000"
"72572024127","1993-01-26","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  22.0","24","  19.9","24","1033.1","24","882.2","24","  0.8","24","  3.0","24","  7.0","999.9","  37.0"," ","  10.9"," "," 0.00","D","  7.9","101000"
"72572024127","1993-01-27","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  20.9","24","  18.0","24","1029.1","24","878.4","24","  1.1","24","  3.3","24","  7.0","999.9","  28.0"," ","  16.0"," "," 0.01","G","  7.9","101000"
"72572024127","1993-01-28","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  18.5","24","  15.3","24","1026.9","24","876.2","24","  1.2","24","  4.2","24","  7.0","999.9","  28.9"," ","  12.0"," "," 0.00","D","  7.9","101000"
