"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72572024127","2006-01-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  41.6","24","  30.2","24","1006.7","22","862.1","24","  9.7","24"," 10.5","24"," 27.0"," 34.0","  50.0","*","  34.0","*"," 0.22","G","999.9","011000"
"72572024127","2006-01-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  42.2","24","  30.1","24","1008.3","24","864.2","24","  9.8","24"," 13.9","24"," 22.9"," 26.8","  52.0"," ","  32.0"," "," 0.05","G","999.9","010000"
"72572024127","2006-01-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  44.9","24","  32.7","24","1011.0","24","866.5","24","  9.8","24"," 13.1","24"," 24.9"," 31.7","  52.0"," ","  36.0"," "," 0.01","G","999.9","010000"
"72572024127","2006-01-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  40.0","24","  31.5","24","1027.5","24","880.3","24","  9.6","24","  4.9","24"," 10.9","999.9","  46.9"," ","  36.0"," "," 0.08","G","999.9","010000"
"72572024127","2006-01-05","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  35.4","24","  23.8","24","1038.9","24","889.7","24"," 10.0","24","  4.0","24","  9.9","999.9","  46.9"," ","  27.0"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-06","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.8","24","  26.3","24","1032.3","24","883.6","24"," 10.0","24","  2.9","24","  7.0","999.9","  48.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-07","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.5","24","  28.7","24","1015.9","24","869.6","24","  9.6","24","  4.9","24"," 12.8","999.9","  45.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-08","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.4","24","  25.7","24","1018.1","24","871.5","24"," 10.0","24","  5.7","24"," 13.8","999.9","  45.0"," ","  25.0"," "," 0.02","G","999.9","010000"
"72572024127","2006-01-09","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.3","24","  20.6","24","1031.4","24","882.2","24"," 10.0","24","  5.4","24"," 12.8","999.9","  42.1"," ","  21.0"," "," 0.00","I","999.9","000000"
"72572024127","2006-01-10","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.0","24","  19.8","24","1027.7","24","878.9","24"," 10.0","24","  5.6","24"," 13.8","999.9","  43.0"," ","  21.0"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-11","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.5","24","  22.1","24","1015.4","24","869.5","24"," 10.0","24","  8.5","24"," 19.8"," 30.7","  53.1"," ","  23.0"," "," 0.00","G","999.9","010000"
"72572024127","2006-01-12","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.3","24","  25.5","24","1020.8","20","872.5","24","  8.9","24","  5.4","24"," 15.9"," 20.0","  53.1"," ","  25.0"," "," 0.15","G","999.9","011000"
"72572024127","2006-01-13","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.9","24","  19.2","24","1026.2","24","878.2","24"," 10.0","24","  6.9","24"," 13.0","999.9","  48.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-14","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  42.7","24","  22.3","24","1013.6","24","868.3","24"," 10.0","24"," 11.1","24"," 22.0"," 29.7","  57.9"," ","  25.0"," "," 0.00","G","999.9","000000"
"72572024127","2006-01-15","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.7","24","  28.4","24","1006.7","18","863.6","24","  7.4","24"," 10.7","24"," 19.8"," 23.7","  57.9"," ","  30.0"," "," 0.08","G","  2.0","111000"
