"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72572024127","1996-01-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  35.6","24","  30.8","24","1021.8","24","874.9","24"," 12.0","24","  5.3","24"," 15.0","999.9","  46.9"," ","  28.9"," "," 0.01","G","999.9","001000"
"72572024127","1996-01-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.8","24","  24.4","24","1025.2","24","876.9","24"," 11.5","24","  7.7","24"," 10.1","999.9","  39.0"," ","  21.9"," "," 0.00","G","999.9","001000"
"72572024127","1996-01-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.3","24","  26.4","24","1015.8","24","869.5","24"," 17.8","24","  7.8","24"," 12.0","999.9","  46.0","*","  21.9"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.8","24","  31.8","24","1009.8","24","865.0","24"," 11.7","24","  6.3","24"," 12.8","999.9","  46.0"," ","  33.1","*"," 0.00","G","999.9","011000"
"72572024127","1996-01-05","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.5","24","  29.3","24","1018.4","24","871.5","24"," 12.4","24","  3.6","24"," 10.1","999.9","  41.0"," ","  28.0"," "," 0.07","G","999.9","000000"
"72572024127","1996-01-06","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.8","24","  20.4","24","1028.8","24","879.8","24"," 14.3","24","  5.3","24","  8.9","999.9","  41.0","*","  21.9"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-07","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.7","24","  26.0","24","1030.2","24","882.0","24"," 17.4","24","  6.5","24"," 11.1","999.9","  50.0","*","  21.9"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-08","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  34.9","24","  29.9","24","1024.6","24","877.1","24"," 12.1","24","  3.7","24","  7.0","999.9","  51.1"," ","  26.1"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-09","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.3","24","  31.1","24","1022.8","24","875.6","24","  5.6","24","  4.1","24","  7.0","999.9","  50.0","*","  25.9"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-10","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  41.1","24","  33.9","24","1023.2","24","876.5","24","  8.0","24","  5.8","24"," 12.0","999.9","  51.1"," ","  28.9"," "," 0.05","G","999.9","110000"
"72572024127","1996-01-11","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  35.0","24","  26.6","24","1034.9","24","886.1","24"," 12.8","24","  5.1","24","  8.0","999.9","  48.9"," ","  24.1"," "," 0.01","G","999.9","000000"
"72572024127","1996-01-12","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.8","24","  26.4","24","1034.0","24","884.9","24","  9.2","24","  4.4","24","  8.0","999.9","  48.0"," ","  23.0"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-13","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.8","24","  26.9","24","1024.9","24","877.0","24","  7.9","24","  4.2","24","  8.0","999.9","  48.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72572024127","1996-01-14","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.3","24","  27.0","24","1023.1","24","875.4","24","  5.3","24","  3.9","24","  7.0","999.9","  50.0","*","  19.9"," "," 0.00","G","999.9","100000"
"72572024127","1996-01-15","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  37.3","24","  29.3","24","1020.4","24","873.6","24","  6.3","24","  5.4","24"," 15.0","999.9","  55.9","*","  20.8"," "," 0.00","G","999.9","100000"
"72572024127","1996-01-16","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  41.7","24","  32.9","24","1011.8","24","866.9","24"," 10.4","24","  5.9","24"," 14.0","999.9","  57.0"," ","  27.0"," "," 0.01","G","999.9","010000"
"72572024127","1996-01-17","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.0","24","  33.5","24"," 998.5","24","855.3","24","  4.7","24"," 11.7","24"," 19.8"," 29.9","  53.1"," ","  26.1","*"," 0.83","G","  5.1","111000"
"72572024127","1996-01-18","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  23.6","24","  20.5","24","1022.2","24","873.3","24"," 11.3","24","  5.7","24"," 13.0","999.9","  27.0","*","  15.1"," "," 0.12","G","  7.1","001000"
"72572024127","1996-01-19","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.1","24","  26.9","24","1010.9","24","864.4","24","  8.6","24"," 10.5","24"," 19.0"," 23.9","  37.9","*","  14.9"," "," 0.23","G","  7.9","001000"
"72572024127","1996-01-20","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  34.0","24","  25.3","24","1017.3","24","870.5","24"," 15.9","24","  7.6","24"," 12.0","999.9","  39.0","*","  25.0"," "," 0.05","G","  7.9","001000"
"72572024127","1996-01-21","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  38.0","24","  22.4","24","1011.7","24","866.3","24"," 14.6","24"," 14.6","24"," 21.0"," 26.8","  41.0"," ","  25.0"," "," 0.00","G","  7.1","001000"
"72572024127","1996-01-22","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.0","24","  25.2","24","1012.6","24","866.3","24","  9.3","24","  7.3","24"," 12.0","999.9","  42.1"," ","  23.0"," "," 0.05","G","  7.1","101000"
"72572024127","1996-01-23","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  25.8","24","  20.3","24","1019.6","24","871.2","24","  9.9","24","  8.4","24"," 15.9"," 19.8","  33.1"," ","  19.9"," "," 0.00","G","  7.1","101000"
"72572024127","1996-01-24","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.8","24","  24.5","24","1014.4","24","867.6","24","  9.6","24"," 15.6","24"," 28.0"," 35.9","  41.0","*","  19.9"," "," 0.01","G","  7.1","101000"
"72572024127","1996-01-25","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.6","24","  26.2","24","1009.5","24","863.2","24","  1.8","24","  6.9","24"," 12.0","999.9","  30.0","*","  25.9"," "," 0.80","G"," 18.1","101000"
"72572024127","1996-01-26","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  25.5","24","  18.6","24","1019.5","24","871.2","24","  6.6","24","  6.5","24"," 12.0","999.9","  30.0"," ","  23.0"," "," 0.20","G"," 16.9","101000"
"72572024127","1996-01-27","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  25.7","24","  16.0","24","1018.9","24","870.4","24"," 12.8","24"," 12.9","24"," 20.0"," 35.0","  37.9","*","  11.8"," "," 0.05","G"," 14.2","000000"
"72572024127","1996-01-28","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.6","24","  22.6","24","1009.4","24","864.1","24"," 12.3","24"," 13.6","24"," 25.1"," 35.9","  42.1"," ","  16.0"," "," 0.05","G"," 13.0","101000"
"72572024127","1996-01-29","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.2","24","  20.7","24","1014.2","24","867.4","24"," 19.9","24","  4.9","24","  8.9","999.9","  42.1"," ","  21.9"," "," 0.00","D"," 11.0","000000"
"72572024127","1996-01-30","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.3","24","  28.9","24","1016.1","24","869.2","24","  5.2","24","  7.7","24"," 15.0","999.9","  36.0"," ","  21.9"," "," 0.14","G"," 13.0","101000"
"72572024127","1996-01-31","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  26.8","24","  25.2","24","1014.9","24","867.6","24","  1.4","24","  5.7","24","  8.9","999.9","  32.0"," ","  25.0"," "," 0.41","G"," 16.1","101000"
"72572024127","1996-02-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  21.2","24","  15.9","24","1014.0","24","865.9","24","  6.2","24","  5.2","24"," 12.0","999.9","  30.0"," ","  12.0"," "," 0.23","G"," 16.1","101000"
"72572024127","1996-02-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  14.0","24","  11.2","24","1019.0","24","868.6","24","  5.0","24","  4.0","24"," 10.1","999.9","  27.0","*","  -0.9"," "," 0.01","G"," 15.0","101000"
"72572024127","1996-02-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","   7.9","24","   4.6","24","1031.3","24","878.4","24","  4.7","24","  4.7","24","  8.0","999.9","  27.0"," "," -11.9"," "," 0.01","G"," 14.2","100000"
"72572024127","1996-02-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  12.9","24","   9.5","24","1034.3","24","880.9","24","  4.0","24","  4.4","24"," 11.1","999.9","  26.1"," "," -12.1"," "," 0.00","G"," 14.2","100000"
