"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72572024127","1992-01-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.6","24","  27.8","24","1030.4","24","881.5","24","  4.5","24","  4.9","24","  8.0","999.9","  34.0"," ","  28.9"," "," 0.01","G","  2.0","101000"
"72572024127","1992-01-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.7","24","  21.7","24","1029.5","24","880.2","24","  5.0","24","  4.6","24","  8.0","999.9","  37.0"," ","  19.9"," "," 0.01","G","999.9","100000"
"72572024127","1992-01-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  26.7","24","  21.2","24","1021.7","24","873.2","24","  3.1","24","  1.6","24","  7.0","999.9","  35.1"," ","  19.9"," "," 0.00","G","999.9","001000"
"72572024127","1992-01-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.0","24","  24.8","24","1014.4","24","867.2","24","  2.1","24","  3.7","24","  8.0","999.9","  34.0","*","  25.0"," "," 0.16","G","  3.1","101000"
"72572024127","1992-01-05","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  27.7","24","  22.2","24","1014.7","24","867.4","24","  7.2","24","  6.6","24"," 18.1","999.9","  43.0","*","  14.0"," "," 0.10","G","  0.4","101000"
"72572024127","1992-01-06","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  39.9","24","  27.6","24","1003.3","24","859.2","24"," 23.2","24"," 11.0","24"," 20.0"," 21.0","  44.1"," ","  36.0","*"," 0.00","G","  0.4","010000"
"72572024127","1992-01-07","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.1","24","  31.3","24","1007.2","24","862.2","24","  2.6","24","  7.0","24"," 12.0","999.9","  44.1"," ","  30.9"," "," 0.48","G","  5.9","111010"
"72572024127","1992-01-08","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  29.7","24","  26.6","24","1022.7","24","874.7","24","  8.2","24","  3.1","24","  6.0","999.9","  35.1"," ","  25.0"," "," 0.04","G","  5.1","101000"
"72572024127","1992-01-09","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  21.6","24","  17.6","24","1032.6","24","881.9","24","  7.3","24","  3.9","24","  8.0","999.9","  36.0"," ","  14.0"," "," 0.00","G","  3.9","100000"
"72572024127","1992-01-10","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  18.0","24","  15.3","24","1032.8","24","881.3","24","  1.0","24","  2.3","24","  8.0","999.9","  32.0"," ","  10.0"," "," 0.00","G","  3.9","101000"
