"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72572024127","2015-01-01","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  13.6","24","   4.3","24","1025.2","24","873.6","24","  9.9","24","  2.5","24","  6.0","999.9","  24.1"," ","   1.0"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-02","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  17.6","24","   8.2","24","1026.6","24","875.6","24"," 10.0","24","  4.1","24","  8.9","999.9","  26.1"," ","   5.0"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-03","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  22.9","24","  12.9","24","1024.5","24","874.6","24","  9.8","24","  3.0","24","  7.0","999.9","  32.0"," ","  10.9"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-04","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  26.0","24","  17.6","24","1029.4","24","879.6","24","  8.3","24","  4.3","24","  8.9","999.9","  35.1"," ","  19.9"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-05","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.4","24","  25.5","24","1031.6","24","882.6","24","  8.9","24","  3.5","24","  8.9","999.9","  43.0"," ","  19.9"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-06","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  36.7","24","  29.7","24","1033.9","24","885.4","24","  9.9","24","  2.8","24","  8.0","999.9","  46.9"," ","  28.9"," "," 0.00","G","  1.2","000000"
"72572024127","2015-01-07","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  35.1","24","  29.4","24","1033.6","24","884.9","24","  9.0","24","  2.4","24","  8.0","999.9","  48.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72572024127","2015-01-08","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  33.8","24","  29.3","24","1026.3","22","878.6","24","  4.3","24","  2.4","24","  7.0","999.9","  48.0"," ","  26.1"," "," 0.00","G","999.9","100000"
"72572024127","2015-01-09","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  32.9","24","  29.5","24","1022.8","21","875.2","24","  2.6","24","  2.9","24","  7.0","999.9","  46.0"," ","  26.1"," "," 0.00","G","999.9","100000"
"72572024127","2015-01-10","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  31.1","24","  28.7","24","1019.0","18","871.9","24","  2.4","24","  1.4","24","  4.1","999.9","  44.1"," ","  25.0"," "," 0.00","G","999.9","110000"
"72572024127","2015-01-11","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  35.9","24","  34.1","24","1018.8","21","872.0","24","  1.4","24","  2.2","24","  6.0","999.9","  45.0"," ","  25.0"," "," 0.07","G","999.9","010000"
"72572024127","2015-01-12","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  37.8","24","  36.7","24","1020.6","10","873.9","24","  2.9","24","  4.6","24"," 11.1","999.9","  45.0"," ","  33.1"," "," 0.04","G","999.9","110000"
"72572024127","2015-01-13","40.7781","-111.9694","1287.8","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","  34.3","24","  32.1","24","1021.9","16","874.9","24","  5.7","24","  4.9","24"," 12.0","999.9","  39.9"," ","  32.0"," "," 0.70","G","999.9","011000"
